state,White,Black,Hispanic,Asian,American Indian/Alaska Native,abbreviation,population,poverty_rate,high_school,bachelor_degree,advanced_degree,gun_ownership,avg_pol_income($),value_of_a_dollar,violent_crime_rate,requirements_to_become_a_policeman
Alabama,0.654,0.265,0.044,0.014,0.004,AL,5024279,0.16,0.871,0.264,0.1,0.555,46510, 1.16,4536,High school diploma
Alaska,0.6,0.022,0.07,0.06,0.151,AK,733391,0.103,0.936,0.302,0.117,0.645,87870, 0.95,8378,High school diploma
Arizona,0.542,0.043,0.318,0.033,0.039,AZ,7151502,0.141,0.876,0.302,0.113,0.463,66970, 1.04,6548,High school diploma
Arkansas,0.721,0.152,0.078,0.016,0.006,AR,3011524,0.161,0.875,0.233,0.083,0.572,40570, 1.17,6719,High school diploma
California,0.364,0.053,0.395,0.147,0.004,CA,39538223,0.126,0.84,0.35,0.131,0.283,105220, 0.87,4420,High school diploma
Colorado,0.678,0.038,0.218,0.032,0.005,CO,5773714,0.098,0.924,0.427,0.16,0.451,75720, 0.98,4231,High school diploma
Connecticut,0.657,0.1,0.169,0.046,0.002,CT,3605944,0.098,0.907,0.398,0.178,0.236,73270, 0.94,1816,More than High school diploma
Delaware,0.614,0.218,0.097,0.039,0.003,DE,989948,0.114,0.903,0.332,0.137,0.344,73740, 1.01,4319,More than High school diploma
Florida,0.53,0.15,0.266,0.027,0.002,FL,21538187,0.133,0.884,0.307,0.114,0.353,60720, 0.99,3836,More than High school diploma
Georgia,0.52,0.313,0.098,0.041,0.002,GA,10711908,0.143,0.879,0.325,0.126,0.492,44700, 1.08,4001,More than High school diploma
Hawaii,0.204,0.012,0.103,0.394,0.001,HI,1455271,0.093,0.924,0.336,0.116,0.149,78720, 0.85,2542,High school diploma
Idaho,0.816,0.007,0.129,0.012,0.009,ID,1839106,0.119,0.915,0.287,0.1,0.601,54120, 1.08,2426,More than High school diploma
Illinois,0.609,0.136,0.176,0.056,0.001,IL,12801989,0.12,0.898,0.358,0.141,0.278,78350, 1.02,4259,More than High school diploma
Indiana,0.786,0.092,0.072,0.024,0.002,IN,6785528,0.129,0.896,0.269,0.097,0.448,56780, 1.12,3577,More than High school diploma
Iowa,0.853,0.039,0.063,0.023,0.003,IA,3271616,0.111,0.926,0.293,0.095,0.436,59730, 1.12,3035,High school diploma
Kansas,0.757,0.055,0.122,0.028,0.006,KS,2937880,0.114,0.918,0.34,0.124,0.489,49910, 1.11,4250,High school diploma
Kentucky,0.845,0.08,0.037,0.016,0.001,KY,4505836,0.166,0.872,0.251,0.103,0.546,46720, 1.14,2591,More than High school diploma
Louisiana,0.588,0.319,0.052,0.017,0.005,LA,4657757,0.186,0.86,0.25,0.089,0.531,42470, 1.12,6394,More than High school diploma
Maine,0.932,0.014,0.017,0.011,0.007,ME,1362359,0.111,0.932,0.332,0.124,0.468,53170, 1.00,1086,High school diploma
Maryland,0.499,0.296,0.106,0.064,0.002,MD,6177224,0.09,0.904,0.409,0.191,0.302,71170, 0.92,3999,High school diploma
Massachusetts,0.705,0.07,0.124,0.067,0.002,MA,7029917,0.098,0.913,0.45,0.203,0.147,72400, 0.91,3088,High school diploma
Michigan,0.749,0.134,0.053,0.032,0.005,MI,10077331,0.137,0.913,0.3,0.119,0.402,58770, 1.08,4780,High school diploma
Minnesota,0.791,0.064,0.056,0.049,0.009,MN,5706494,0.093,0.936,0.372,0.128,0.428,71840, 1.03,2775,More than High school diploma
Mississippi,0.566,0.376,0.03,0.01,0.004,MS,2961279,0.196,0.853,0.223,0.086,0.558,36290, 1.16,2912,High school diploma
Missouri,0.794,0.112,0.043,0.021,0.004,MO,6154913,0.13,0.907,0.302,0.118,0.488,51860, 1.13,5427,High school diploma
Montana,0.861,0.006,0.037,0.008,0.061,MT,1084225,0.128,0.943,0.336,0.105,0.663,56710, 1.07,4698,High school diploma
Nebraska,0.785,0.048,0.113,0.024,0.008,NE,1961504,0.104,0.92,0.332,0.114,0.452,58860, 1.12,3341,High school diploma
Nevada,0.478,0.092,0.293,0.085,0.009,NV,3104614,0.128,0.868,0.257,0.09,0.473,73660, 1.03,4603,More than High school diploma
New Hampshire,0.898,0.013,0.039,0.026,0.0,NH,1377529,0.074,0.933,0.376,0.147,0.411,58820, 0.94,1464,More than High school diploma
New Jersey,0.545,0.124,0.21,0.096,0.001,NJ,9288994,0.097,0.903,0.412,0.161,0.147,86840, 0.87,1954,More than High school diploma
New Mexico,0.367,0.017,0.495,0.016,0.087,NM,2117522,0.185,0.859,0.277,0.121,0.462,53750, 1.10,7783,More than High school diploma
New York,0.552,0.14,0.193,0.086,0.002,NY,20201249,0.136,0.876,0.378,0.166,0.199,77490, 0.86,3638,More than High school diploma
North Carolina,0.627,0.209,0.097,0.029,0.011,NC,10439388,0.14,0.886,0.323,0.118,0.458,47340, 1.09,4193,High school diploma
North Dakota,0.841,0.024,0.04,0.014,0.052,ND,779094,0.105,0.934,0.304,0.089,0.551,58770, 1.10,3290,More than High school diploma
Ohio,0.786,0.122,0.04,0.023,0.001,OH,11799448,0.136,0.908,0.293,0.111,0.4,6288, 1.13,3088,High school diploma
Oklahoma,0.65,0.069,0.111,0.021,0.077,OK,3959353,0.153,0.884,0.262,0.091,0.547,48060, 1.13,4586,More than High school diploma
Oregon,0.75,0.018,0.134,0.047,0.009,OR,4237256,0.124,0.913,0.345,0.135,0.508,73300, 0.99,2919,High school diploma
Pennsylvania,0.76,0.104,0.078,0.035,0.001,PA,13002700,0.119,0.91,0.323,0.128,0.407,68940, 1.03,3895,More than High school diploma
